Class,Sample_num
Unconsolidated Barren,3768
Mixed or Not Classified,3769
Shrubs,3774
Shrubs,3775
Shrubs,3776
Shrubs,3777
Shrubs,3778
Annual Crops (e.g wheat),3786
Annual Crops (e.g wheat),3795
Annual Crops (e.g wheat),3796
Annual Crops (e.g wheat),3797
Annual Crops (e.g wheat),3798
Annual Crops (e.g wheat),3799
Mixed or Not Classified,3800
Built-up,3801
Built-up,3802
Annual Crops (e.g wheat),3816
Mixed or Not Classified,3824
Shrubs,3825
Shrubs,3826
Shrubs,3829
Natural Wooded Land,3830
Annual Crops (e.g wheat),3831
Annual Crops (e.g wheat),3832
Annual Crops (e.g wheat),3833
Mixed or Not Classified,3835
Shrubs,3851
Shrubs,3869
Shrubs,3882
Shrubs,3883
Shrubs,3884
Annual Crops (e.g wheat),3889
Annual Crops (e.g wheat),3907
Annual Crops (e.g wheat),3951
Annual Crops (e.g wheat),3960
Shrubs,3976
Shrubs,3977
Shrubs,3978
Shrubs,3979
Shrubs,3980
Shrubs,3981
Annual Crops (e.g wheat),3982
"Permanent Crops (e.g., vineyard)",3983
Natural Grassland,3991
Annual Crops (e.g wheat),3992
Shrubs,3994
Annual Crops (e.g wheat),4003
Shrubs,4008
Annual Crops (e.g wheat),4009
Shrubs,4010
Shrubs,4011
Shrubs,4012
Shrubs,4014
Natural Wooded Land,4015
Shrubs,4016
Shrubs,4017
Shrubs,4018
Shrubs,4020
Shrubs,4023
Natural Wooded Land,4024
Natural Wooded Land,4025
Annual Crops (e.g wheat),4026
Shrubs,4027
Natural Wooded Land,4064
Shrubs,4071
Mixed or Not Classified,4079
Shrubs,4112
Mixed or Not Classified,4116
Natural Wooded Land,4151
Shrubs,4161
Natural Wooded Land,4168
Shrubs,4170
Shrubs,4173
Shrubs,4179
Shrubs,4196
Shrubs,4221
Shrubs,4234
Shrubs,4244
Shrubs,4283
Shrubs,4288
Shrubs,4294
Shrubs,4299
Shrubs,4314
Mixed or Not Classified,4316
Shrubs,4332
Shrubs,4333
Shrubs,4378
Shrubs,4403
Mixed or Not Classified,4413
Shrubs,4435
Shrubs,4450
Shrubs,4452
Shrubs,4469
Shrubs,4472
Mixed or Not Classified,4477
Shrubs,4481
Natural Wooded Land,4490
Shrubs,4505
Shrubs,4526
Shrubs,4537
Shrubs,4545
"Consolidated Barren (rocks, salt pans)",4556
Natural Wooded Land,4579
Shrubs,4588
Shrubs,4604
Mixed or Not Classified,4605
Shrubs,4610
Mixed or Not Classified,4611
Mixed or Not Classified,4629
Shrubs,4661
Shrubs,4681
"Consolidated Barren (rocks, salt pans)",4698
Shrubs,4719
Natural Grassland,4725
Natural Wooded Land,4726
Natural Wooded Land,4727
Natural Grassland,4728
Natural Grassland,4731
Annual Crops (e.g wheat),4732
Shrubs,4733
Annual Crops (e.g wheat),4734
Annual Crops (e.g wheat),4739
Shrubs,4753
Shrubs,4758
Shrubs,4761
Shrubs,4767
Shrubs,4777
Shrubs,4802
Shrubs,4804
Natural Wooded Land,4812
Natural Wooded Land,4821
Natural Grassland,4822
Natural Wooded Land,4823
Shrubs,4836
Annual Crops (e.g wheat),4840
Natural Grassland,4851
Annual Crops (e.g wheat),4854
"Permanent Crops (e.g., vineyard)",4855
"Permanent Crops (e.g., vineyard)",4856
"Consolidated Barren (rocks, salt pans)",4859
Mixed or Not Classified,4860
Shrubs,4875
Shrubs,4876
Shrubs,4877
Natural Wooded Land,4878
Shrubs,4879
Shrubs,4880
Natural Wooded Land,4882
Shrubs,4883
Shrubs,4884
Annual Crops (e.g wheat),4885
Annual Crops (e.g wheat),4890
Annual Crops (e.g wheat),4901
Mixed or Not Classified,4902
Mixed or Not Classified,4903
Shrubs,4906
Shrubs,4907
Annual Crops (e.g wheat),4908
Shrubs,4909
Shrubs,4910
Shrubs,4911
Annual Crops (e.g wheat),4931
Built-up,4934
Built-up,4935
Built-up,4936
Built-up,4937
Built-up,4938
Built-up,4939
Natural Wooded Land,4940
Natural Wooded Land,4941
Natural Wooded Land,4942
Natural Wooded Land,4943
Natural Wooded Land,4944
Shrubs,4946
Shrubs,4949
Shrubs,4950
Shrubs,4951
Built-up,4953
Built-up,4954
Shrubs,4955
Shrubs,4956
Shrubs,4962
Shrubs,4963
Shrubs,4964
Shrubs,4965
Shrubs,4966
Shrubs,4967
Shrubs,4968
Shrubs,4969
Shrubs,4970
Shrubs,4971
Shrubs,4972
Shrubs,4973
Shrubs,4974
Shrubs,4975
Shrubs,4976
Natural Wooded Land,4977
Shrubs,4978
Shrubs,4979
Shrubs,4980
Shrubs,4981
Shrubs,4982
Annual Crops (e.g wheat),4998
"Permanent Crops (e.g., vineyard)",5028
Annual Crops (e.g wheat),5029
"Permanent Crops (e.g., vineyard)",5030
Built-up,5031
Mixed or Not Classified,5032
Built-up,5033
Natural Wooded Land,5034
Shrubs,5035
Shrubs,5036
Natural Wooded Land,5037
Shrubs,5038
Natural Grassland,5039
Mixed or Not Classified,5040
Natural Grassland,5041
"Permanent Crops (e.g., vineyard)",5042
Natural Wooded Land,5053
Shrubs,5054
Annual Crops (e.g wheat),5061
Annual Crops (e.g wheat),5062
Natural Grassland,5063
Natural Grassland,5064
Natural Grassland,5065
Natural Wooded Land,5092
"Consolidated Barren (rocks, salt pans)",5094
Shrubs,5095
Mixed or Not Classified,5096
Natural Wooded Land,5097
Unconsolidated Barren,5098
Natural Wooded Land,5099
Shrubs,5113
Shrubs,5114
Shrubs,5135
Unconsolidated Barren,5141
Mixed or Not Classified,5149
Shrubs,5154
Shrubs,5155
Shrubs,5161
Shrubs,5166
Shrubs,5168
Shrubs,5170
Shrubs,5175
Shrubs,5177
Shrubs,5195
Shrubs,5224
Shrubs,5227
Shrubs,5240
Shrubs,5251
Shrubs,5276
Shrubs,5283
Natural Grassland,5286
Mixed or Not Classified,5299
Shrubs,5302
Shrubs,5304
Shrubs,5306
Shrubs,5321
Unconsolidated Barren,5348
Shrubs,5349
Shrubs,5358
Natural Wooded Land,5360
Natural Wooded Land,5368
"Consolidated Barren (rocks, salt pans)",5374
Shrubs,5375
Shrubs,5376
Mixed or Not Classified,5377
Mixed or Not Classified,5378
Annual Crops (e.g wheat),5381
Annual Crops (e.g wheat),5387
Planted Forest,5390
Shrubs,5393
Natural Wooded Land,5394
Shrubs,5395
Natural Grassland,5397
Annual Crops (e.g wheat),5406
Annual Crops (e.g wheat),5408
Natural Wooded Land,5409
Natural Wooded Land,5410
Mixed or Not Classified,5411
Natural Wooded Land,5412
Natural Wooded Land,5413
Natural Grassland,5414
Natural Wooded Land,5415
Shrubs,5416
Shrubs,5417
Shrubs,5418
Natural Wooded Land,5419
Shrubs,5435
Natural Wooded Land,5443
Shrubs,5445
Annual Crops (e.g wheat),5453
Shrubs,5455
Shrubs,5456
Shrubs,5457
Shrubs,5458
Natural Wooded Land,5459
Natural Wooded Land,5460
Natural Wooded Land,5469
Annual Crops (e.g wheat),5472
Planted Forest,5473
Natural Wooded Land,5474
Shrubs,5475
Shrubs,5476
Planted Forest,5477
Shrubs,5478
Shrubs,5479
Shrubs,5480
Planted Forest,5481
Shrubs,5485
Planted Forest,5487
Shrubs,5488
Shrubs,5490
Shrubs,5491
Natural Wooded Land,5493
Natural Wooded Land,5497
Tie,5498
Shrubs,5499
Natural Grassland,5501
Tie,5502
Shrubs,5504
Shrubs,5506
Tie,5509
#N/A,5510
Tie,5512
Natural Wooded Land,5513
Shrubs,5514
Shrubs,5515
Natural Wooded Land,5519
Natural Wooded Land,5525
Shrubs,5527
Natural Wooded Land,5528
Annual Crops (e.g wheat),5562
Annual Crops (e.g wheat),5563
Shrubs,5567
Built-up,5570
Annual Crops (e.g wheat),5575
Natural Wooded Land,5580
Planted Forest,5586
Planted Forest,5587
Shrubs,5589
Shrubs,5590
Natural Grassland,5594
Shrubs,5597
Planted Forest,5611
Built-up,5623
Built-up,5624
Annual Crops (e.g wheat),5627
Natural Grassland,5629
Annual Crops (e.g wheat),5632
Annual Crops (e.g wheat),5633
Natural Grassland,5634
Natural Wooded Land,5638
Shrubs,5639
#N/A,5640
Tie,5641
Shrubs,5642
Annual Crops (e.g wheat),5643
Annual Crops (e.g wheat),5645
Annual Crops (e.g wheat),5647
Planted Forest,5653
Annual Crops (e.g wheat),5655
Annual Crops (e.g wheat),5657
Annual Crops (e.g wheat),5658
Annual Crops (e.g wheat),5660
Shrubs,5669
Shrubs,5670
Shrubs,5671
Built-up,5678
Built-up,5679
Shrubs,5680
Shrubs,5681
Natural Wooded Land,5682
Natural Wooded Land,5683
Planted Forest,5684
Planted Forest,5687
Annual Crops (e.g wheat),5689
Natural Grassland,5691
Annual Crops (e.g wheat),5693
Built-up,5695
Built-up,5696
Built-up,5697
Built-up,5698
Built-up,5699
Built-up,5700
Built-up,5701
Mixed or Not Classified,5702
"Permanent Crops (e.g., vineyard)",5703
"Permanent Crops (e.g., vineyard)",5704
Annual Crops (e.g wheat),5706
Planted Forest,5711
Natural Wooded Land,5718
#N/A,5719
Shrubs,5720
Natural Wooded Land,5721
Natural Wooded Land,5722
Shrubs,5723
Built-up,5724
Built-up,5725
Built-up,5728
Built-up,5729
Waterbodies,5738
Built-up,5740
Built-up,5741
#N/A,5743
Natural Wooded Land,5744
#N/A,5745
Natural Grassland,5757
Shrubs,5758
Annual Crops (e.g wheat),5764
Planted Forest,5771
Mixed or Not Classified,5772
Built-up,5773
Built-up,5774
Built-up,5777
#N/A,5778
Natural Wooded Land,5779
Natural Wooded Land,5786
Natural Wooded Land,5787
Annual Crops (e.g wheat),5788
Annual Crops (e.g wheat),5789
Natural Wooded Land,5790
Natural Wooded Land,5791
Natural Wooded Land,5797
Natural Wooded Land,5802
Natural Wooded Land,5841
Natural Wooded Land,5866
Built-up,5879
Built-up,5880
Built-up,5881
Built-up,5882
"Permanent Crops (e.g., vineyard)",5885
"Permanent Crops (e.g., vineyard)",5886
"Permanent Crops (e.g., vineyard)",5887
Built-up,5888
Built-up,5889
Natural Wooded Land,5900
Built-up,5902
Built-up,5903
Built-up,5916
#N/A,5917
#N/A,5918
Planted Forest,5919
Shrubs,5926
Shrubs,5928
Shrubs,5929
Shrubs,5930
Planted Forest,5931
Shrubs,5932
Shrubs,5933
Shrubs,5934
Natural Wooded Land,5935
Natural Grassland,5936
Natural Wooded Land,5937
Shrubs,5938
Shrubs,5939
Shrubs,5940
#N/A,5941
Shrubs,5943
Natural Wooded Land,5953
Natural Wooded Land,5956
Natural Wooded Land,5957
Shrubs,5966
Built-up,5991
Natural Wooded Land,5992
Natural Wooded Land,5993
Natural Wooded Land,5994
Natural Wooded Land,5995
Natural Wooded Land,5996
#N/A,5997
Natural Wooded Land,5998
Planted Forest,5999
Planted Forest,6000
Mixed or Not Classified,6001
#N/A,6002
#N/A,6003
#N/A,6004
Planted Forest,6005
Built-up,6007
Built-up,6008
Natural Grassland,6009
"Permanent Crops (e.g., vineyard)",6011
"Permanent Crops (e.g., vineyard)",6012
Natural Wooded Land,6022
Natural Wooded Land,6023
#N/A,6024
Shrubs,6029
Shrubs,6031
Natural Wooded Land,6032
Shrubs,6033
Shrubs,6034
Natural Wooded Land,6035
Natural Grassland,6036
Waterbodies,6041
#N/A,6042
Built-up,6043
"Permanent Crops (e.g., vineyard)",6044
"Permanent Crops (e.g., vineyard)",6045
"Permanent Crops (e.g., vineyard)",6046
Annual Crops (e.g wheat),6047
#N/A,6050
Shrubs,6051
Natural Grassland,6052
Built-up,6058
Shrubs,6066
Shrubs,6104
Natural Grassland,6110
#N/A,6116
#N/A,6163
Shrubs,6165
Natural Grassland,6192
Shrubs,6201
#N/A,6223
#N/A,6225
#N/A,6231
"Consolidated Barren (rocks, salt pans)",6250
#N/A,6259
Shrubs,6285
Shrubs,6303
Planted Forest,6352
Shrubs,6356
Mixed or Not Classified,6362
Built-up,6368
Built-up,6369
"Permanent Crops (e.g., vineyard)",6371
"Permanent Crops (e.g., vineyard)",6372
Built-up,6383
Built-up,6384
Shrubs,6385
Planted Forest,6386
Planted Forest,6387
Shrubs,6388
Shrubs,6389
Shrubs,6390
#N/A,6391
Shrubs,6401
Shrubs,6402
#N/A,6414
Natural Wooded Land,6415
Natural Wooded Land,6417
Planted Forest,6460
Shrubs,6462
Natural Wooded Land,6475
Natural Wooded Land,6495
Mixed or Not Classified,6503
Natural Wooded Land,6530
Natural Wooded Land,6551
Natural Wooded Land,6556
Natural Wooded Land,6592
Natural Grassland,6602
Natural Wooded Land,6623
Natural Wooded Land,6625
Shrubs,6636
Natural Wooded Land,6651
Shrubs,6664
Shrubs,6674
Shrubs,6677
Shrubs,6685
Mixed or Not Classified,6694
Natural Wooded Land,6702
Natural Wooded Land,6704
Natural Wooded Land,6709
Shrubs,6715
#N/A,6741
Natural Wooded Land,6746
Natural Grassland,6757
Mixed or Not Classified,6761
Natural Wooded Land,6794
Natural Wooded Land,6824
Natural Grassland,6827
Natural Wooded Land,6857
Shrubs,6875
Shrubs,6888
Shrubs,6899
Shrubs,6904
#N/A,6921
Natural Wooded Land,6932
Shrubs,6947
Natural Grassland,6952
Natural Grassland,6973
Shrubs,6979
Natural Wooded Land,6984
Natural Wooded Land,6994
Natural Grassland,7011
Natural Grassland,7013
Natural Wooded Land,7022
Shrubs,7044
Mixed or Not Classified,7068
"Consolidated Barren (rocks, salt pans)",7080
"Consolidated Barren (rocks, salt pans)",7081
"Consolidated Barren (rocks, salt pans)",7082
"Consolidated Barren (rocks, salt pans)",7083
"Consolidated Barren (rocks, salt pans)",7084
"Consolidated Barren (rocks, salt pans)",7085
Shrubs,7086
Natural Wooded Land,7087
#N/A,7088
Mixed or Not Classified,7089
#N/A,7090
Shrubs,7091
"Consolidated Barren (rocks, salt pans)",7092
"Consolidated Barren (rocks, salt pans)",7093
"Consolidated Barren (rocks, salt pans)",7094
#N/A,7095
#N/A,7096
Mixed or Not Classified,7097
Shrubs,7098
Shrubs,7099
"Consolidated Barren (rocks, salt pans)",7100
Natural Grassland,7101
"Consolidated Barren (rocks, salt pans)",7102
"Consolidated Barren (rocks, salt pans)",7103
Shrubs,7104
Shrubs,7105
"Consolidated Barren (rocks, salt pans)",7106
"Permanent Crops (e.g., vineyard)",7111
"Permanent Crops (e.g., vineyard)",7112
Shrubs,7113
Natural Wooded Land,7114
Natural Wooded Land,7115
Natural Wooded Land,7116
Natural Wooded Land,7117
Natural Grassland,7118
Built-up,7120
Built-up,7121
Waterbodies,7127
Waterbodies,7135
Waterbodies,7136
Waterbodies,7140
Waterbodies,7183
Waterbodies,7220
Waterbodies,7227
Waterbodies,7238
Waterbodies,7269
Waterbodies,7278
Waterbodies,7280
Waterbodies,7292
Natural Wooded Land,7301
Planted Forest,7303
Annual Crops (e.g wheat),7308
#N/A,7310
#N/A,7311
Annual Crops (e.g wheat),7326
"Permanent Crops (e.g., vineyard)",7327
Annual Crops (e.g wheat),7328
Shrubs,7340
Shrubs,7341
#N/A,7342
Shrubs,7343
Built-up,7344
Built-up,7345
Built-up,7346
Built-up,7347
Annual Crops (e.g wheat),7349
Built-up,7355
Built-up,7356
Waterbodies,7367
Waterbodies,7391
Waterbodies,7400
Waterbodies,7406
Natural Grassland,7410
Unconsolidated Barren,7412
Mixed or Not Classified,7413
Wetlands,7414
Wetlands,7415
"Consolidated Barren (rocks, salt pans)",7416
Natural Grassland,7424
Waterbodies,7436
Waterbodies,7438
Waterbodies,7439
Waterbodies,7440
Waterbodies,7470
Waterbodies,7493
Waterbodies,7496
Waterbodies,7510
Waterbodies,7521
Waterbodies,7524
Waterbodies,7567
Waterbodies,7575
Waterbodies,7600
Annual Crops (e.g wheat),7646
Annual Crops (e.g wheat),7647
#N/A,7649
Shrubs,7650
Annual Crops (e.g wheat),7651
Natural Grassland,7652
Shrubs,7653
Shrubs,7654
Shrubs,7655
Natural Grassland,7656
Shrubs,7657
Annual Crops (e.g wheat),7658
#N/A,7670
Annual Crops (e.g wheat),7671
Annual Crops (e.g wheat),7672
Annual Crops (e.g wheat),7674
Annual Crops (e.g wheat),7681
Annual Crops (e.g wheat),7688
#N/A,7689
Natural Grassland,7692
Natural Grassland,7701
Natural Grassland,7708
Natural Grassland,7711
Natural Grassland,7742
